"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.486738003E1,6.515471069E1,2.568945351E1,3.937562742E1,1.039999962E0,1.160000000E2,3.790092468E0,2.500000000E0
6.586819862E1,6.515470564E1,2.568947461E1,3.930983248E1,1.129999995E0,1.199000015E2,3.790092468E0,2.500000000E0
6.686799190E1,6.515470084E1,2.568949615E1,3.921345887E1,1.100000024E0,1.200999985E2,3.790092468E0,2.500000000E0
6.786750669E1,6.515469540E1,2.568951633E1,3.896242231E1,1.129999995E0,1.265000000E2,3.790092468E0,2.500000000E0
6.886817924E1,6.515469121E1,2.568953914E1,3.886787963E1,1.149999976E0,1.163000031E2,3.790092468E0,2.500000000E0
6.986795273E1,6.515468445E1,2.568955951E1,3.836116707E1,1.240000010E0,1.311000061E2,3.790092468E0,2.500000000E0
7.086777555E1,6.515467809E1,2.568958626E1,3.842281378E1,1.450000048E0,1.218000031E2,3.790092468E0,2.500000000E0
7.186798273E1,6.515467241E1,2.568961231E1,3.845455313E1,1.340000033E0,1.196999969E2,3.790092468E0,2.500000000E0
7.286776258E1,6.515466636E1,2.568963704E1,3.859817000E1,1.350000024E0,1.210999985E2,3.790092468E0,2.500000000E0
7.386799320E1,6.515466076E1,2.568966271E1,3.876754361E1,1.340000033E0,1.209000015E2,3.790092468E0,2.500000000E0
7.486781409E1,6.515465428E1,2.568968723E1,3.868502531E1,1.320000052E0,1.229000015E2,3.790092468E0,2.500000000E0
7.586754877E1,6.515464913E1,2.568971104E1,3.875674259E1,1.269999981E0,1.171999969E2,3.790092468E0,2.500000000E0
7.686734742E1,6.515464297E1,2.568973412E1,3.839395079E1,1.289999962E0,1.188000031E2,3.790092468E0,2.500000000E0
7.786799606E1,6.515463612E1,2.568975994E1,3.842428657E1,1.409999967E0,1.208000031E2,3.790092468E0,2.500000000E0
7.886777554E1,6.515462963E1,2.568978814E1,3.838522529E1,1.440000057E0,1.201999969E2,3.790092468E0,2.500000000E0
7.986756367E1,6.515462297E1,2.568981512E1,3.839334423E1,1.399999976E0,1.215999985E2,3.790092468E0,2.500000000E0
8.086795898E1,6.515461674E1,2.568984314E1,3.830386786E1,1.460000038E0,1.206999969E2,3.790092468E0,2.500000000E0
8.186743523E1,6.515461027E1,2.568986929E1,3.805313666E1,1.440000057E0,1.200999985E2,3.790092468E0,2.500000000E0
8.286811283E1,6.515460348E1,2.568989415E1,3.795774001E1,1.450000048E0,1.218000031E2,3.790092468E0,2.500000000E0
8.386755137E1,6.515459639E1,2.568992066E1,3.788364468E1,1.500000000E0,1.215000000E2,3.790092468E0,2.500000000E0
8.486790288E1,6.515458939E1,2.568994786E1,3.779007911E1,1.470000029E0,1.208000031E2,3.790092468E0,2.500000000E0
8.586749007E1,6.515458264E1,2.568997493E1,3.766495832E1,1.480000019E0,1.199000015E2,3.790092468E0,2.500000000E0
