"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.293708824E0,-2.717831731E-2,-1.519889832E-1,-3.021268845E-1
1.298708824E0,-2.941566706E-2,-1.471524239E-1,-3.207607269E-1
1.303708824E0,-1.620763540E-2,-1.536116600E-1,-3.429212570E-1
1.308708824E0,3.971844912E-3,-1.536660194E-1,-3.567333221E-1
1.313708824E0,5.976408720E-3,-1.518583298E-1,-4.109954834E-1
1.318708824E0,-9.623676538E-3,-1.046395302E-1,-3.998227119E-1
1.323708824E0,1.540884376E-2,-7.601499557E-2,-3.750348091E-1
1.328708824E0,7.362687588E-2,-7.044076920E-2,-3.621640205E-1
1.333708824E0,1.593137532E-1,-8.316993713E-2,-3.784608841E-1
1.338708824E0,2.327159345E-1,-8.241319656E-2,-3.700799942E-1
1.343708824E0,2.700949609E-1,-4.714727402E-2,-3.025031090E-1
1.348708824E0,2.698795795E-1,-4.375600815E-2,-2.561011314E-1
1.353708824E0,2.590585351E-1,-5.521249771E-2,-1.984710693E-1
1.358708824E0,2.205716074E-1,-5.982017517E-2,-1.118350029E-1
1.363708824E0,1.676497310E-1,-5.238342285E-2,-1.547098160E-2
1.368708824E0,9.464004636E-2,-3.983259201E-2,9.803390503E-2
1.373708824E0,-1.490801573E-3,-3.353977203E-2,2.188940048E-1
1.378708824E0,-7.011085749E-2,-4.790067673E-2,3.015213013E-1
1.383708824E0,-1.693579257E-1,-3.498268127E-2,3.850879669E-1
1.388708824E0,-2.765956223E-1,1.094245911E-2,4.792556763E-1
1.393708824E0,-3.389860392E-1,1.782989502E-2,5.654811859E-1
1.398708824E0,-3.701126575E-1,1.435756683E-2,5.985889435E-1
1.403708824E0,-3.809510469E-1,2.142047882E-2,5.960254669E-1
1.408708824E0,-3.487839103E-1,5.753040314E-3,5.854072571E-1
1.413708824E0,-2.758060396E-1,1.745223999E-2,5.928268433E-1
1.418708824E0,-2.208951116E-1,4.241991043E-2,5.569648743E-1
1.423708824E0,-1.804414690E-1,1.220226288E-2,4.721488953E-1
1.428708824E0,-1.807010770E-1,-1.528310776E-2,3.574037552E-1
1.433708824E0,-1.846193969E-1,-7.314682007E-3,2.647628784E-1
1.438708824E0,-1.412695050E-1,-9.687423706E-3,2.121191025E-1
1.443708824E0,-1.122653782E-1,-1.034736633E-3,1.083726883E-1
1.448708824E0,-1.722798944E-1,1.893148422E-1,-3.182041168E0
1.453708824E0,-5.917621255E-1,7.202830315E-1,-4.228617191E0
1.458708824E0,-3.470852077E-1,6.058387756E-1,-3.081545830E0
1.463708824E0,-3.368407488E-3,4.994578362E-1,-2.449024677E0
1.468708824E0,5.242359638E-1,2.835097313E-1,-1.435242176E0
1.473708824E0,4.667930603E-1,1.158556938E-1,-4.707407951E-1
1.478708824E0,1.840256155E-1,8.012771606E-3,6.348810196E-1
1.483708824E0,-1.854102015E-1,-1.683783531E-1,1.545447350E0
1.488708824E0,-3.699964881E-1,-3.251338005E-1,1.777438164E0
1.493708824E0,-4.668740034E-1,-3.767576218E-1,1.636584282E0
1.498708824E0,-5.594739318E-1,-3.293380737E-1,1.427582741E0
1.503708824E0,-6.340695024E-1,-2.588624954E-1,1.239023209E0
1.508708824E0,-6.585129499E-1,-2.056078911E-1,1.084666252E0
1.513708824E0,-6.084403396E-1,-1.507430077E-1,9.902076721E-1
1.518708824E0,-5.031518340E-1,-1.047239304E-1,8.809404373E-1
1.523708824E0,-3.399218917E-1,-8.373880386E-2,7.615308762E-1
1.528708824E0,-1.715695262E-1,-7.641363144E-2,6.455860138E-1
1.533708824E0,-2.013224363E-2,-6.970167160E-2,5.399999619E-1
1.538708824E0,1.035270393E-1,-1.028900146E-1,4.258813858E-1
1.543708824E0,1.399874985E-1,-8.642482758E-2,3.321104050E-1
1.548708824E0,1.328882277E-1,-6.499481201E-2,3.019905090E-1
1.553708824E0,1.112006903E-1,-3.370189667E-2,2.825717926E-1
1.558708824E0,8.048385382E-2,-3.097391129E-2,2.750453949E-1
1.563708824E0,5.547371507E-2,-2.499151230E-2,2.624263763E-1
1.568708824E0,2.298334241E-2,-2.155494690E-2,2.460746765E-1
1.573708824E0,3.913354874E-2,-2.896261215E-2,2.071323395E-1
1.578708824E0,8.096754551E-2,-1.102638245E-2,1.745481491E-1
1.583708824E0,1.161216199E-1,1.747131348E-3,1.233787537E-1
1.588708824E0,1.465749145E-1,-2.111434937E-3,3.737354279E-2
1.593708824E0,1.326546967E-1,1.224470139E-2,-4.893016815E-2
1.598708824E0,1.113070548E-1,3.861665726E-2,-1.191329956E-1
1.603708824E0,1.189220846E-1,4.363918304E-2,-1.694965363E-1
1.608708824E0,1.573493779E-1,3.933572769E-2,-2.233438492E-1
1.613708824E0,1.953522563E-1,3.522300720E-2,-3.025598526E-1
1.618708824E0,2.309127748E-1,4.487562180E-2,-3.931279182E-1
1.623708824E0,2.514346242E-1,5.370330811E-2,-4.517655373E-1
1.628708824E0,2.289531678E-1,6.555652618E-2,-4.540028572E-1
1.633708824E0,1.890166700E-1,7.198429108E-2,-4.277281761E-1
1.638708824E0,1.550864577E-1,4.822969437E-2,-3.991599083E-1
1.643708824E0,1.539518237E-1,1.627397537E-2,-3.674473763E-1
1.648708824E0,1.042363942E-1,4.289150238E-3,-3.342595100E-1
1.653708824E0,2.932190895E-2,1.879405975E-2,-2.742285728E-1
1.658708824E0,-1.982301474E-2,-6.928443909E-3,-1.963338852E-1
1.663708824E0,-4.628086090E-2,-3.052139282E-2,-9.669542313E-2
1.668708824E0,-2.401772141E-2,-4.869604111E-2,1.040935516E-2
1.673708824E0,3.422290087E-3,-4.505395889E-2,1.151704788E-1
1.678708824E0,3.093764186E-2,-8.055162430E-2,1.946277618E-1
1.683708824E0,6.332367659E-3,-8.542823792E-2,2.674541473E-1
